Ashburton 3147 
Balwyn 3103 
Deepdene 
Balwyn North 3104 
Bellevue 
Greythorn 
Camberwell 3124 
Hartwell 
Canterbury 3126 
Glen Iris 3146 (Shared with City of Stonnington) 
Hawthorn 3122 
Glenferrie 
Hawthorn East 3123 
Kew 3101 
Kew East 3102 
Mont Albert (Shared with City of Whitehorse) 
Surrey Hills 3127 (Shared with City of Whitehorse) 
Bayswater 3153 
Boronia 3155 
Ferntree Gully 3156 
Knoxfield 3180 
Lysterfield 3156 
Rowville 3178 
Scoresby 3179 
The Basin 3154 
Wantirna 3152 
Wantirna South 3152 
Bulleen 3105 
Doncaster 3108 
Doncaster East 3109 
Donvale 3111 
Park Orchards 3114 
Templestowe 3106 
Templestowe Lower 3107 
Warrandyte 3113 
Warrandyte South 3134 
Wonga Park 3115 
Bayswater North 3153 
Croydon 3136 
Croydon Hills 3136 
Croydon North 3136 
Croydon South 3136 
Heathmont 3135 
Kilsyth South 3137 
Ringwood 3134 
Ringwood East 3135 
Ringwood North 3134 
Warranwood 3134 
Blackburn 3130 
Laburnum 
Bellbird 
Blackburn North 3130 
Blackburn South 3130 
Box Hill 3128 
Box Hill North 3129 
Kerrimuir 
Box Hill South 3128 
Houston 
Burwood 3125 
Bennettswood 
Wattle Park 
Burwood East 3151 
Tally Ho 
Forest Hill 3131 
Mitcham 3132 
Heatherdale 
Mont Albert 3127 (Shared with City of Boroondara) 
Nunawading 3131 
Surrey Hills 3127 (Shared with City of Boroondara) 
Vermont 3133 
Vermont South 3133 
Badger Creek 3777 
Belgrave 3160 
Belgrave Heights 3160 
Belgrave South 3160 
Chirnside Park 3116 
Chum Creek 3777 
Coldstream 3770 
Dixons Creek 3775 
Don Valley 3139 
Ferntree Gully Upper 3156 
Ferny Creek 3786 
Gruyere 3770 
Healesville 3777 
Hoddles Creek 3139 
Kallista 3791 
Kalorama 3766 
Kilsyth 3137 
Launching Place 3139 
Lilydale 3140 
Macclesfield 3782 
Menzies Creek 3159 
Millgrove 3799 
Monbulk 3793 
Montrose 3765 
Mooroolbark 3138 
Mount Dandenong 3767 
Mount Evelyn 3796 
Narre Warren East 3804 
Olinda 3432 
Sassafras 3787 
Selby 3159 
Seville 3139 
Seville East 3139 
Sherbrooke 3789 
Silvan 3795 
Steels Creek 3775 
Tarrawarra 3775 
Tecoma 3160 
The Patch 3792 
Tremont 3785 
Upwey 3158 
Wandin East 3139 
Wandin North 3139 
Warburton 3799 
Warburton East 3799 
Wesburn 3799 
Woori Yallock 3139 
Yarra Glen 3775 
Yarra Junction 3797 
Yellingbo 3139 
Yering 3770 
